1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
143	-0.890553	369.458876	0.032578	9.3
144	-1.465711	368.553338	0.036895	10.8
145	-0.745605	367.653696	0.015501	9.6
146	-1.240536	366.759885	0.018643	8.9
147	-0.322163	365.871846	0.003714	8.6
148	-1.452232	364.989518	0.015178	9.9
149	-0.736057	364.112841	0.018886	9.7
150	-1.061767	363.241757	0.016470	9.4
151	-1.123470	362.376208	0.015542	8.8
152	-1.447143	361.516137	0.015557	11.5
153	-1.520318	360.661488	0.024693	8.4
154	-0.737327	359.812206	0.010796	11.1
155	-1.374163	358.968236	0.016424	7.9
156	-1.035410	358.129524	0.006484	11.8
157	-0.674691	357.296018	0.009712	9.6
158	-1.562191	356.467665	0.032108	8.1
159	-1.459646	355.644414	0.031318	8.2
160	-1.476157	354.826213	0.018104	9.2
161	-1.625051	354.013012	0.037548	9.0
162	-0.689700	353.204763	0.008853	8.7
163	-0.312173	352.401415	0.002371	8.3
164	-1.453959	351.602922	0.022463	8.2
165	-1.101241	350.809235	0.026197	10.8
166	-1.481455	350.020308	0.020623	10.0
167	-1.499104	349.236095	0.018299	9.2
168	-0.237228	348.456550	0.002720	9.1
169	-1.626962	347.681627	0.021730	11.0
170	-0.693594	346.911283	0.007442	8.9
171	-0.797023	346.145474	0.009447	8.9
172	-1.547723	345.384157	0.028597	8.0
173	-0.937945	344.627288	0.014501	11.4
174	-0.973620	343.874826	0.031827	7.9
175	-1.583486	343.126729	0.013813	7.2
176	-0.792140	342.382957	0.021644	8.3
177	-1.060704	341.643469	0.012599	8.1
178	-1.632140	340.908224	0.034243	10.9
179	-0.099073	340.177184	0.001048	10.4
180	-0.519163	339.450309	0.006560	8.7
181	-0.708657	338.727561	0.013230	7.6
182	-0.737448	338.008902	0.011496	8.9
183	-0.984396	337.294295	0.014394	10.8
184	-1.682265	336.583703	0.019569	9.3
185	-1.542202	335.877089	0.021103	8.0
186	-1.683645	335.174416	0.024709	8.2
187	-1.636914	334.475651	0.017489	10.6
188	-0.529869	333.780756	0.008444	9.3
189	-0.692199	333.089698	0.016272	7.8
190	-1.656496	332.402443	0.031384	8.4
191	-0.017268	331.718955	0.000017	8.3
192	-1.324229	331.039203	0.015449	11.0
193	-0.339589	330.363153	0.003586	8.0
194	-0.170117	329.690771	0.003051	9.0
195	-0.879955	329.022027	0.013829	7.9
196	-1.528312	328.356888	0.043584	11.0
197	-0.725334	327.695322	0.015308	9.9
198	-1.550937	327.037299	0.046124	8.1
199	-0.559491	326.382787	0.009825	8.9
200	-0.766937	325.731758	0.010499	9.0
201	-1.187925	325.084179	0.016596	9.6
202	-1.254958	324.440023	0.012625	7.9
203	-1.501788	323.799258	0.023628	10.3
204	-0.182657	323.161858	0.002044	9.2
205	-0.404826	322.527792	0.006043	10.2
206	-1.309992	321.897034	0.014343	9.8
207	-0.573791	321.269554	0.005038	8.0
208	-1.435196	320.645325	0.021732	8.5
209	-0.790975	320.024320	0.010342	9.8
210	-1.486531	319.406512	0.009535	9.0
211	-0.944904	318.791875	0.029443	7.9
212	-1.582859	318.180381	0.017712	8.1
213	-0.728864	317.572005	0.011775	8.6
214	-0.031933	316.966721	0.000335	10.5
215	-0.798565	316.364504	0.007986	10.3
216	-0.154444	315.765329	0.001230	8.7
217	-0.303546	315.169170	0.004244	7.2
218	-0.368073	314.576003	0.005027	11.4
219	-1.397177	313.985804	0.028899	10.4
220	-0.739085	313.398548	0.013055	8.7
221	-0.539178	312.814213	0.007672	8.7
222	-1.196196	312.232773	0.017914	9.3
223	-0.594197	311.654207	0.006559	9.0
224	-1.592329	311.078491	0.024033	10.1
225	-0.835885	310.505602	0.013486	8.6
226	-1.029221	309.935518	0.017383	8.5
227	-0.075455	309.368217	0.000936	11.4
228	-1.524351	308.803676	0.012749	8.5
229	-0.318552	308.241874	0.006087	8.9
230	-1.649942	307.682789	0.024122	9.4
231	-1.108352	307.126400	0.014336	11.2
232	-1.552365	306.572687	0.022569	8.6
233	-0.936484	306.021627	0.012689	9.4
234	-1.452633	305.473201	0.017036	9.0
235	-1.434323	304.927388	0.023077	10.5
236	-1.593785	304.384168	0.030756	10.6
237	-1.684971	303.843521	0.030705	9.0
238	-1.548570	303.305427	0.023711	9.9
239	-1.211016	302.769867	0.011952	11.6
240	-0.189802	302.236821	0.001498	9.2
241	-1.350282	301.706270	0.022358	9.3
242	-1.617268	301.178196	0.016147	10.6
243	-1.382280	300.652580	0.017766	8.9
244	-1.314639	300.129402	0.013143	10.6
245	-1.307396	299.608645	0.012880	8.3
246	-0.923854	299.090291	0.015956	13.2
247	-1.535296	298.574321	0.026771	10.5
248	-1.546616	298.060718	0.021935	7.8
249	-1.104083	297.549465	0.016539	9.6
250	-1.293739	297.040543	0.019102	9.5
251	-0.649662	296.533936	0.016479	9.2
252	-0.156331	296.029626	0.001800	8.5
253	-1.525287	295.527597	0.029762	10.2
254	-0.129430	295.027832	0.001702	10.6
255	-0.463375	294.530315	0.004690	9.1
256	-1.376294	294.035028	0.023853	9.5
257	-1.667028	293.541956	0.012995	8.5
258	-1.047723	293.051083	0.009156	8.2
